Stoffcode;Stofflieferant;Herstellungsland;Lager;Bestellte Menge;Voraussichtliches Empfangsdatum;Status;Preiskat;Zusammensetzung;Gewicht;Eigenschaften;Katalog;Produkttyp;Stoffart;Stofffarbe;Saison;MTO
695.401/18;VITALE BARBERIS;Italy;213.23 m;210 m;23/12/2025;MTM QS;5;100% Schurwolle;250 gr/ml;Standard;C1SEV1/1 | 1;Anzug;Plain;Grey;4 Jahreszeiten;No
595.401/3;VITALE BARBERIS;Italy;92.8 m;140 m;23/12/2025;MTM QS;4;100% Schurwolle;240 gr/ml;Standard;C1SEV1/1 | 2;Anzug;Plain;Grey;4 Jahreszeiten;Yes
695.401/2;VITALE BARBERIS;Italy;189.41 m;770 m;11/01/2026;MTM QS;5;100% Schurwolle;250 gr/ml;Standard;C1SEV1/1 | 3;Anzug;Plain;Grey;4 Jahreszeiten;No
695.401/6;VITALE BARBERIS;Italy;173.95 m;280 m;23/12/2025;MTM QS;5;100% Schurwolle;250 gr/ml;Standard;C1SEV1/1 | 4;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
695.401/43;VITALE BARBERIS;Italy;156.21 m;350 m;23/12/2025;MTM QS;5;100% Schurwolle;250 gr/ml;Standard;C1SEV1/1 | 5;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
595.201/8;VITALE BARBERIS;Italy;187.59 m;560 m;23/12/2025;MTM QS;4;100% Schurwolle;240 gr/ml;Standard;C1SEV1/1 | 6;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
586.861/120;VITALE BARBERIS;Italy;266.53 m;560 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 7;Anzug;Plain;Grey;4 Jahreszeiten;Yes
586.861/122;VITALE BARBERIS;Italy;220.77 m;280 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 8;Anzug;Plain;Grey;4 Jahreszeiten;Yes
586.861/10;VITALE BARBERIS;Italy;277.45 m;70 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 9;Anzug;Plain;Grey;4 Jahreszeiten;Yes
586.801/4;VITALE BARBERIS;Italy;196.6 m;280 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 10;Anzug;Plain;Grey;4 Jahreszeiten;Yes
586.801/6;VITALE BARBERIS;Italy;160.19 m;420 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 11;Anzug;Plain;Grey;4 Jahreszeiten;Yes
887.601/5730;VITALE BARBERIS;Italy;816.07 m;1890 m;23/12/2025;MTM QS;6;100% Wolle;250 gr/ml;Standard;C1SEV1/1 | 12;Anzug;Plain;Black;4 Jahreszeiten;Yes
586.861/780;VITALE BARBERIS;Italy;120.69 m;420 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 13;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
586.861/813;VITALE BARBERIS;Italy;357.13 m;210 m;26/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 14;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
586.861/779;VITALE BARBERIS;Italy;2658.32 m;1670 m;11/01/2026;MTM QS;6;100% Wolle;260 gr/ml;Standard;C1SEV1/1 | 15;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
886.601/5966;VITALE BARBERIS;Italy;213.48 m;490 m;26/12/2025;MTM QS;6;100% Schurwolle;270 gr/ml;Standard;C1SEV1/1 | 16;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
586.861/736;VITALE BARBERIS;Italy;379.78 m;245 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 17;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
586.801/62;VITALE BARBERIS;Italy;531.8 m;4550 m;11/01/2026;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 18;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
496.513/5;VITALE BARBERIS;Italy;25.44 m;280 m;26/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 19;Anzug;Plain;Beige;4 Jahreszeiten;No
496.513/6;VITALE BARBERIS;Italy;269.56 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 20;Anzug;Plain;Brown;4 Jahreszeiten;No
496.513/8;VITALE BARBERIS;Italy;47.29 m;280 m;11/03/2026;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 21;Anzug;Plain;Black;4 Jahreszeiten;No
496.513/1;VITALE BARBERIS;Italy;68.04 m;280 m;11/03/2026;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 22;Anzug;Plain;Grey;4 Jahreszeiten;No
496.513/3;VITALE BARBERIS;Italy;45 m;279.5 m;26/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 23;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
496.513/4;VITALE BARBERIS;Italy;60.41 m;280 m;11/03/2026;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 24;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
496.514/8;VITALE BARBERIS;Italy;73.81 m;350 m;11/02/2026;MTM QS;7;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 25;Anzug;Plain;Brown;4 Jahreszeiten;No
496.514/2;VITALE BARBERIS;Italy;6.79 m;140 m;11/02/2026;MTM QS;7;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 27;Anzug;Plain;Grey;4 Jahreszeiten;Yes
496.514/6;VITALE BARBERIS;Italy;81.41 m;210 m;15/12/2025;MTM QS;7;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 28;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
496.514/4;VITALE BARBERIS;Italy;23.28 m;70 m;11/02/2026;MTM QS;7;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 30;Anzug;Plain;Black;4 Jahreszeiten;No
96.523/3;VITALE BARBERIS;Italy;72.76 m;280 m;11/03/2026;MTM QS;7;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 31;Anzug;Stripe;Grey;4 Jahreszeiten;No
96.523/5;VITALE BARBERIS;Italy;23.35 m;350 m;11/03/2026;MTM QS;7;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 33;Anzug;Stripe;Blue/Navy;4 Jahreszeiten;No
96.522/5;VITALE BARBERIS;Italy;222.6 m;350 m;23/12/2025;MTM QS;7.1;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 34;Anzug;Check;Brown;4 Jahreszeiten;No
96.522/3;VITALE BARBERIS;Italy;29.7 m;280 m;11/03/2026;MTM QS;7.1;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 35;Anzug;Check;Blue/Navy;4 Jahreszeiten;No
96.522/4;VITALE BARBERIS;Italy;132.56 m;350 m;11/03/2026;MTM QS;7.1;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 36;Anzug;Check;Blue/Navy;4 Jahreszeiten;No
65C4022;Alfred Brown;England;203.44 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 1;Anzug;Plain;Beige;4 Jahreszeiten;Yes
65C4026;Alfred Brown;England;118.08 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 2;Anzug;Plain;Brown;4 Jahreszeiten;Yes
65C4023;Alfred Brown;England;207.27 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 3;Anzug;Plain;Grey;4 Jahreszeiten;Yes
65C4027;Alfred Brown;England;92.66 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 4;Anzug;Plain;Black;4 Jahreszeiten;Yes
65C4024;Alfred Brown;England;268.89 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 5;Anzug;Plain;Grey;4 Jahreszeiten;Yes
65C4028;Alfred Brown;England;30.9 m;140 m;23/12/2025;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 6;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
65C4029;Alfred Brown;England;69.8 m;70 m;27/01/2026;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 7;Anzug;Plain;Green;4 Jahreszeiten;Yes
65C4030;Alfred Brown;England;35.68 m;70 m;23/12/2025;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 8;Anzug;Plain;Orange/Yellow;4 Jahreszeiten;Yes
65C4031;Alfred Brown;England;38.3 m;70 m;23/12/2025;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 9;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
65C4032;Alfred Brown;England;30.03 m;70 m;30/12/2025;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 10;Anzug;Plain;Red/Burgundy;4 Jahreszeiten;Yes
65C4025;Alfred Brown;England;192.29 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.4;100% Wolle;300 gr/ml;Standard;C1SEV2/2 | 11;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
65C4020;Alfred Brown;England;55.59 m;70 m;23/12/2025;MTM QS;8;100% Wolle;340 gr/ml;Standard;C1SEV2/2 | 12;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
65C4033;Alfred Brown;England;69.87 m;140 m;23/12/2025;MTM QS;7.4;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 13;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
65C4034;Alfred Brown;England;152.01 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.4;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 14;Anzug;Plain;Brown;4 Jahreszeiten;YES
65C4017;Alfred Brown;England;55.57 m;140 m;23/12/2025;MTM QS;9;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 15;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
65C4015;Alfred Brown;England;104.19 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;9;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 16;Anzug;Plain;Grey;4 Jahreszeiten;YES
65C4016;Alfred Brown;England;56.13 m;70 m;22/12/2025;MTM QS;9;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 17;Anzug;Plain;Grey;4 Jahreszeiten;YES
65C4008;Alfred Brown;England;57.67 m;70 m;23/12/2025;MTM QS;8;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 18;Anzug;Plain;Grey;4 Jahreszeiten;YES
65C4009;Alfred Brown;England;124.56 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;8;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 19;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
65C4010;Alfred Brown;England;31.61 m;70 m;23/12/2025;MTM QS;10.1;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 20;Anzug;Plain;Grey;4 Jahreszeiten;YES
65C4011;Alfred Brown;England;101.48 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;10.1;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 21;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
65C4019;Alfred Brown;England;144.42 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;10.1;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 22;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
65C4018;Alfred Brown;England;46.53 m;70 m;23/12/2025;MTM QS;10.1;100% Wolle;340gr/ml;Standard;C1SEV2/2 | 23;Anzug;Plain;Grey;4 Jahreszeiten;YES
51C4000;Carreman;Europe;481.73 m;770 m;11/01/2026;MTM QS;0.9;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 1;Anzug;Plain;Black;4 Jahreszeiten;YES
51C3003;Carreman;Europe;181.44 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;0.9;55% Wolle | 45% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 2;Anzug;Plain;Grey;4 Jahreszeiten;YES
51C3004;Carreman;Europe;206.09 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;0.9;55% Wolle | 45% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 3;Anzug;Plain;Grey;4 Jahreszeiten;YES
51C3005;Carreman;Europe;325.61 m;200 m;11/01/2026;MTM QS;0.9;55% Wolle | 41% Polyester | 4% Elasthan;260 gr/ml;Stretch;C1SEV3/3 | 4;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
51C4029;Carreman;Europe;110.76 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;0.9;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 5;Anzug;Check;Grey;4 Jahreszeiten;YES
51C4031;Carreman;Europe;110.48 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;0.9;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 6;Anzug;Check;Grey;4 Jahreszeiten;YES
51C4030;Carreman;Europe;348.49 m;100 m;11/01/2026;MTM QS;0.9;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 7;Anzug;Check;Blue/Navy;4 Jahreszeiten;YES
51C4036;Carreman;Europe;103.55 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 8;Anzug;Stripe;Grey;4 Jahreszeiten;YES
51C4035;Carreman;Europe;43.91 m;150 m;23/12/2025;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 9;Anzug;Stripe;Blue/Navy;4 Jahreszeiten;YES
51C4037;Carreman;Europe;74.66 m;50 m;11/01/2026;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 10;Anzug;Stripe;Blue/Navy;4 Jahreszeiten;YES
51C4032;Carreman;Europe;114.56 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;2;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 11;Anzug;Check;Grey;4 Jahreszeiten;YES
51C4033;Carreman;Europe;54.86 m;50 m;11/01/2026;MTM QS;2;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 12;Anzug;Check;Grey;4 Jahreszeiten;YES
51C4034;Carreman;Europe;150.03 m;100 m;11/01/2026;MTM QS;2;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 13;Anzug;Check;Blue/Navy;4 Jahreszeiten;YES
51C3007;Carreman;Europe;132.37 m;150 m;11/01/2026;MTM QS;5;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 14;Anzug;Check;Grey;4 Jahreszeiten;YES
51C3006;Carreman;Europe;156.81 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;4;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 15;Anzug;Check;Grey;4 Jahreszeiten;YES
51C3008;Carreman;Europe;243.61 m;300 m;11/01/2026;MTM QS;4;55% Wolle | 41% Polyester | 4% Elasthan;245 gr/ml;Stretch;C1SEV3/3 | 16;Anzug;Check;Blue/Navy;4 Jahreszeiten;YES
51C4040;Carreman;Europe;475.83 m;650 m;27/01/2026;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 17;Anzug;Plain;Black;4 Jahreszeiten;YES
51C4039;Carreman;Europe;109.87 m;200 m;30/12/2025;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 18;Anzug;Plain;Grey;4 Jahreszeiten;YES
51C4038;Carreman;Europe;10.18 m;250 m;23/12/2025;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 19;Anzug;Plain;Grey;4 Jahreszeiten;YES
51C4041;Carreman;Europe;155 m;53 m;11/01/2026;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 20;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
51C4042;Carreman;Europe;127.86 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 21;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
51C4049;Carreman;Europe;54.96 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 22;Anzug;Other;Grey;4 Jahreszeiten;YES
51C4048;Carreman;Europe;136.98 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 23;Anzug;Other;Grey;4 Jahreszeiten;YES
51C4050;Carreman;Europe;193.02 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 24;Anzug;Other;Blue/Navy;4 Jahreszeiten;YES
51C4043;Carreman;Europe;140.22 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;290 gr/ml;Stretch;C1SEV3/3 | 25;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
51C4044;Carreman;Europe;179.62 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;1;55% Wolle | 41% Polyester | 4% Elasthan;290 gr/ml;Stretch;C1SEV3/3 | 26;Anzug;Plain;Blue/Navy;4 Jahreszeiten;YES
51C4045;Carreman;Europe;109.43 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;2;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 27;Anzug;Stripe;Grey;4 Jahreszeiten;YES
51C4046;Carreman;Europe;83.61 m;100 m;11/01/2026;MTM QS;2;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 28;Anzug;Stripe;Blue/Navy;4 Jahreszeiten;YES
51C4047;Carreman;Europe;278.69 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;2;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 29;Anzug;Stripe;Blue/Navy;4 Jahreszeiten;YES
51C4053;Carreman;Europe;24.02 m;100 m;23/12/2025;MTM QS;3;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 30;Anzug;Check;Grey;4 Jahreszeiten;YES
51C4054;Carreman;Europe;87.67 m;50 m;23/12/2025;MTM QS;3;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 31;Anzug;Check;Blue/Navy;4 Jahreszeiten;YES
51C4055;Carreman;Europe;72.14 m;100 m;11/01/2026;MTM QS;3;55% Wolle | 41% Polyester | 4% Elasthan;275 gr/ml;Stretch;C1SEV3/3 | 32;Anzug;Check;Blue/Navy;4 Jahreszeiten;YES
30C4101;Reda;Italy;182.2 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;5;100% Wolle;260 gr/ml;;C1SEV4/4 | 1;Anzug;Other;Grey;4 Jahreszeiten;
30C4104;Reda;Italy;167 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;5;100% Wolle;260 gr/ml;;C1SEV4/4 | 2;Anzug;Other;Grey;4 Jahreszeiten;
30C4103;Reda;Italy;168.2 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;5;100% Wolle;260 gr/ml;;C1SEV4/4 | 3;Anzug;Other;Blue/Navy;4 Jahreszeiten;
30C4102;Reda;Italy;138.82 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;5;100% Wolle;260 gr/ml;;C1SEV4/4 | 4;Anzug;Other;Blue/Navy;4 Jahreszeiten;
30C4131;Reda;Italy;473.24 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 5;Anzug;Plain;Grey;4 Jahreszeiten;
30C4107;Reda;Italy;470.03 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 6;Anzug;Plain;Grey;4 Jahreszeiten;
30C4132;Reda;Italy;444.73 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 7;Anzug;Plain;Grey;4 Jahreszeiten;
30C4108;Reda;Italy;426.46 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 8;Anzug;Plain;Grey;4 Jahreszeiten;
30C4133;Reda;Italy;482.21 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 9;Anzug;Plain;Beige;4 Jahreszeiten;
30C4134;Reda;Italy;361.33 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 10;Anzug;Plain;Brown;4 Jahreszeiten;
30C4135;Reda;Italy;446.48 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 11;Anzug;Plain;Blue/Navy;4 Jahreszeiten;
30C4136;Reda;Italy;442.22 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 12;Anzug;Plain;Blue/Navy;4 Jahreszeiten;
30C4105;Reda;Italy;404.74 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 13;Anzug;Plain;Blue/Navy;4 Jahreszeiten;
30C4137;Reda;Italy;478.56 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 14;Anzug;Plain;Blue/Navy;4 Jahreszeiten;
30C4106;Reda;Italy;2643.73 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 15;Anzug;Plain;Blue/Navy;4 Jahreszeiten;
30C4109;Reda;Italy;219.82 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Wolle;260 gr/ml;;C1SEV4/4 | 16;Anzug;Plain;Black;4 Jahreszeiten;
30C4125;Reda;Italy;55.42 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.1;100% Wolle;260 gr/ml;Piece dyed;C1SEV4/4 | 17;Anzug;Plain;White/Off-white;4 Jahreszeiten;
30C4126;Reda;Italy;93.19 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.1;100% Wolle;260 gr/ml;Piece dyed;C1SEV4/4 | 18;Anzug;Plain;Grey;4 Jahreszeiten;
30C4127;Reda;Italy;32.65 m;50 m;26/02/2026;MTM QS;7.1;100% Wolle;260 gr/ml;Piece dyed;C1SEV4/4 | 19;Anzug;Plain;Beige;4 Jahreszeiten;
30C4128;Reda;Italy;56.93 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.1;100% Wolle;260 gr/ml;Piece dyed;C1SEV4/4 | 20;Anzug;Plain;Grey;4 Jahreszeiten;
30C4129;Reda;Italy;83.56 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.1;100% Wolle;260 gr/ml;Piece dyed;C1SEV4/4 | 21;Anzug;Plain;Blue/Navy;4 Jahreszeiten;
30C4130;Reda;Italy;71.35 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.1;100% Wolle;260 gr/ml;Piece dyed;C1SEV4/4 | 22;Anzug;Plain;Blue/Navy;4 Jahreszeiten;
30C4138;Reda;Italy;78.46 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.1;99% Wolle | 1% Elasthan;270 gr/ml;Stretch;C1SEV4/4 | 23;Anzug;Plain;Blue/Navy;4 Jahreszeiten;
30C4139;Reda;Italy;48.37 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;7.1;99% Wolle | 1% Elasthan;270 gr/ml;Stretch;C1SEV4/4 | 24;Anzug;Plain;Blue/Navy;4 Jahreszeiten;
30C4140;Reda;Italy;20.41 m;50 m;26/02/2026;MTM QS;7.1;99% Wolle | 1% Elasthan;270 gr/ml;Stretch;C1SEV4/4 | 25;Anzug;Plain;Blue/Navy;4 Jahreszeiten;
